narration_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,narration,Actions
P02_120_0,P02_120,00:00:03.916,00:00:03.35,00:00:04.49,hold bowl,"[hold bowl, grab bowl, clasp bowl, grip bowl]"
P02_120_1,P02_120,00:00:05.173,00:00:03.33,00:00:43.82,mix butter with sugar,"mix butter with sugar, add butter with sugar, add butter into sugar, blend butter with sugar, combine butter with sugar"
P02_120_10,P02_120,00:00:57.652,00:00:56.76,00:00:59.02,crack egg,"crack egg, break egg, use egg"
P02_120_100,P02_120,00:05:44.405,00:05:43.92,00:05:54.00,hold spoon,"hold spoon, use spoon"
P02_120_101,P02_120,00:06:01.405,00:06:00.80,00:06:01.85,put spoon in glass,"put spoon in glass, keep spoon in glass "
P02_120_102,P02_120,00:06:17.155,00:06:16.46,00:06:16.89,turn off blender,"turn off blender, switch off blender, switch off mixer, turn of mixer"
P02_120_103,P02_120,00:06:17.903,00:06:16.94,00:06:17.83,rest blender onto side of bowl,"rest blender onto side of bowl, keep blender in bowl"
P02_120_104,P02_120,00:06:20.656,00:06:20.23,00:06:21.68,check recipe,check recipe
P02_120_105,P02_120,00:06:23.155,00:06:22.79,00:06:23.80,remove lid from blender,remove lid from blender
P02_120_106,P02_120,00:06:25.419,00:06:23.74,00:06:25.55,unlock blender from processor,unlock blender from processor
P02_120_107,P02_120,00:06:25.911,00:06:25.43,00:06:26.10,pick up blender,pick up blender
P02_120_108,P02_120,00:06:28.657,00:06:26.14,00:06:26.86,remove blender cover,remove blender cover
P02_120_109,P02_120,00:06:29.154,00:06:28.39,00:06:29.55,put down cover,"put down cover, keep cover"
P02_120_11,P02_120,00:00:59.906,00:00:59.64,00:01:00.70,open compost bin,open compost bin
P02_120_110,P02_120,00:06:31.913,00:06:30.87,00:06:38.08,"pour pistachio from blender onto bowl,add pistachio in bowl, when should I add pistachio in bowl",pour pistachio from blender onto bowl
P02_120_111,P02_120,00:06:32.166,00:06:30.51,00:06:31.71,turn on hand blender,"turn on hand blender, turn on the blender, switch on the blender"
P02_120_112,P02_120,00:06:35.657,00:06:31.51,00:06:43.65,blend ingredients,blend ingredients
P02_120_113,P02_120,00:06:44.165,00:06:42.79,00:06:45.95,pour pistachio from blender onto bowl,pour pistachio from blender onto bowl
P02_120_114,P02_120,00:06:47.156,00:06:45.95,00:06:58.40,blend ingredients,blend ingredients
P02_120_115,P02_120,00:06:58.906,00:06:58.02,00:06:59.42,turn off blender,turn off blender
P02_120_116,P02_120,00:07:01.406,00:07:00.24,00:07:02.49,rest blender on side of bowl,rest blender on side of bowl
P02_120_117,P02_120,00:07:02.906,00:07:02.25,00:07:03.67,turn blender upside down,turn blender upside down
P02_120_118,P02_120,00:07:04.156,00:07:03.54,00:07:16.29,shake blender so pistachio falls into bowl,"[shake blender so pistachio falls into bowl, shake blender, take pistachio from blender]"
P02_120_119,P02_120,00:07:21.406,00:07:20.45,00:07:22.14,put down blender next to sink,put down blender next to sink
P02_120_12,P02_120,00:01:01.154,00:01:00.80,00:01:01.46,throw eggshells,"throw eggshells, waste eggshells"
P02_120_120,P02_120,00:07:24.907,00:07:24.47,00:07:25.70,pick up hand blender,pick up hand blender
P02_120_121,P02_120,00:07:25.905,00:07:24.64,00:07:26.02,turn on hand blender,turn on hand blender
P02_120_122,P02_120,00:07:26.906,00:07:26.07,00:07:51.85,blend ingredients,blend ingredients
P02_120_123,P02_120,00:07:52.154,00:07:51.58,00:07:52.24,turn off blender,turn off blender
P02_120_124,P02_120,00:07:52.655,00:07:51.80,00:07:52.82,rest blender on side of bowl,rest blender on side of bowl
P02_120_125,P02_120,00:07:55.406,00:07:54.92,00:07:55.87,pick up flour bag,pick up flour bag
P02_120_126,P02_120,00:07:56.158,00:07:55.97,00:07:58.81,open flour bag,"open flour bag, take flour bag"
P02_120_127,P02_120,00:07:59.406,00:07:58.56,00:08:07.90,pour flour from bag into glass,pour flour from bag into glass
P02_120_128,P02_120,00:08:10.654,00:08:07.84,00:08:13.59,close flour bag,close flour bag
P02_120_129,P02_120,00:08:13.655,00:08:13.16,00:08:14.15,put down flour bag,put down flour bag
P02_120_13,P02_120,00:01:01.405,00:01:01.46,00:01:01.83,close compost bin,close compost bin
P02_120_130,P02_120,00:08:14.155,00:08:14.73,00:08:16.40,move sugar jar,move sugar jar
P02_120_131,P02_120,00:08:15.406,00:08:15.01,00:08:15.70,pick up blender,pick up blender
P02_120_132,P02_120,00:08:15.654,00:08:15.52,00:08:15.95,turn on hand blender,turn on hand blender
P02_120_133,P02_120,00:08:15.904,00:08:15.89,00:08:16.27,pick up glass,"pick up glass, hold glass, take the glass"
P02_120_134,P02_120,00:08:16.158,00:08:15.97,00:08:17.82,pour flour from glass onto bowl,pour flour from glass onto bowl
P02_120_135,P02_120,00:08:16.905,00:08:17.85,00:08:26.74,blend ingredients,blend ingredients
P02_120_136,P02_120,00:08:27.157,00:08:26.76,00:08:28.27,pour flour from glass into bowl,pour flour from glass into bowl
P02_120_137,P02_120,00:08:28.905,00:08:28.21,00:08:35.36,blend ingredients,blend ingredients
P02_120_138,P02_120,00:08:35.907,00:08:34.98,00:08:37.12,pour flour from glass into bowl,pour flour from glass into bowl
P02_120_139,P02_120,00:08:37.158,00:08:37.02,00:08:42.98,blend ingredients,blend ingredients
P02_120_14,P02_120,00:01:02.905,00:01:02.07,00:01:02.60,hold bowl,"hold bowl, grab bowl, clasp bowl, grip bowl,"
P02_120_140,P02_120,00:08:43.656,00:08:42.99,00:08:44.34,put down glass,put down glass
P02_120_141,P02_120,00:08:45.405,00:08:44.31,00:08:44.91,hold bowl,"hold bowl, grab bowl, clasp bowl, grip bowl,"
P02_120_142,P02_120,00:08:46.654,00:08:46.16,00:08:47.07,turn off hand blender,turn off hand blender
P02_120_143,P02_120,00:08:49.405,00:08:49.46,00:08:50.41,turn on hand blender,turn on hand blender
P02_120_144,P02_120,00:08:50.157,00:08:50.51,00:08:56.42,blend ingredients,blend ingredients
P02_120_145,P02_120,00:08:56.156,00:08:56.52,00:08:59.67,turn off hand blender,turn off hand blender
P02_120_146,P02_120,00:08:59.654,00:08:59.44,00:09:03.99,turn on hand blender,turn on hand blender
P02_120_147,P02_120,00:09:04.156,00:09:03.56,00:09:04.50,turn off hand blender,turn off hand blender
P02_120_148,P02_120,00:09:04.907,00:09:04.45,00:09:05.08,pick up cloth,pick up cloth
P02_120_149,P02_120,00:09:05.406,00:09:05.37,00:09:07.59,pour flour from glass into bowl,pour flour from glass into bowl
P02_120_15,P02_120,00:01:03.405,00:01:02.69,00:01:24.17,mix egg with butter and sugar,mix egg with butter and sugar
P02_120_150,P02_120,00:09:09.656,00:09:09.50,00:09:10.55,put down glass,put down glass
P02_120_151,P02_120,00:09:10.156,00:09:08.00,00:09:10.44,turn on hand blender,turn on hand blender
P02_120_152,P02_120,00:09:10.656,00:09:10.90,00:09:18.54,blend ingredients,blend ingredients
P02_120_153,P02_120,00:09:18.653,00:09:18.36,00:09:18.99,turn off hand blender,turn off hand blender
P02_120_154,P02_120,00:09:19.405,00:09:19.07,00:09:21.25,turn on hand blender,turn on hand blender
P02_120_155,P02_120,00:09:32.162,00:09:31.99,00:09:32.69,turn off hand blender,turn off hand blender
P02_120_156,P02_120,00:09:32.661,00:09:32.31,00:09:38.80,turn on hand blender,turn on hand blender
P02_120_157,P02_120,00:09:45.906,00:09:46.21,00:09:47.06,turn off hand blender,turn off hand blender
P02_120_158,P02_120,00:09:51.407,00:09:39.51,00:09:43.27,turn on hand blender,turn on hand blender
P02_120_159,P02_120,00:09:55.657,00:09:55.79,00:09:56.63,turn off hand blender,turn off hand blender
P02_120_16,P02_120,00:01:24.155,00:01:24.14,00:01:25.05,pick up egg,pick up egg
P02_120_160,P02_120,00:09:57.655,00:09:57.09,00:09:58.95,leave hand blender,leave hand blender
P02_120_161,P02_120,00:10:01.158,00:10:00.66,00:10:01.59,open drawer,open drawer
P02_120_162,P02_120,00:10:01.906,00:10:01.43,00:10:02.20,close drawer,close drawer
P02_120_163,P02_120,00:10:02.655,00:10:02.28,00:10:03.29,open cupboard,open cupboard
P02_120_164,P02_120,00:10:06.657,00:10:03.26,00:10:07.31,pick up cake mould,pick up cake mould
P02_120_165,P02_120,00:10:10.904,00:10:10.34,00:10:13.09,pick up baking paper,pick up baking paper
P02_120_166,P02_120,00:10:16.155,00:10:14.65,00:10:16.43,put down baking paper,put down baking paper
P02_120_167,P02_120,00:10:16.904,00:10:16.43,00:10:17.64,put down cake mould,put down cake mould
P02_120_168,P02_120,00:10:19.656,00:10:17.40,00:10:20.02,pick up lid,pick up lid
P02_120_169,P02_120,00:10:19.902,00:10:19.75,00:10:20.69,pick up glass,pick up glass
P02_120_17,P02_120,00:01:25.404,00:01:25.14,00:01:25.66,tap egg on side of bowl,tap egg on side of bowl
P02_120_170,P02_120,00:10:22.403,00:10:21.77,00:10:23.07,put glass next to sink,put glass next to sink
P02_120_171,P02_120,00:10:23.155,00:10:23.17,00:10:24.94,check tap is closed,check tap is closed
P02_120_172,P02_120,00:10:25.156,00:10:24.89,00:10:26.14,put down lid,put down lid
P02_120_173,P02_120,00:10:29.156,00:10:28.69,00:10:31.04,move food processor,move food processor
P02_120_174,P02_120,00:10:32.158,00:10:31.44,00:10:31.94,pick up blender lid,pick up blender lid
P02_120_175,P02_120,00:10:33.159,00:10:32.07,00:10:34.32,pick up scissors,pick up scissors
P02_120_176,P02_120,00:10:37.664,00:10:36.94,00:10:38.73,put scissors into stand,put scissors into stand
P02_120_177,P02_120,00:10:39.670,00:10:39.72,00:10:40.14,open bin,open bin
P02_120_178,P02_120,00:10:40.163,00:10:40.13,00:10:40.52,throw trash,throw trash
P02_120_179,P02_120,00:10:40.664,00:10:40.55,00:10:41.11,close bin,close bin
P02_120_18,P02_120,00:01:26.404,00:01:25.76,00:01:27.49,crack egg,"crack egg, break egg, use egg"
P02_120_180,P02_120,00:10:41.668,00:10:40.89,00:10:42.41,put down lid,put down lid
P02_120_181,P02_120,00:10:45.157,00:10:43.00,00:10:45.55,switch light on,switch light on
P02_120_182,P02_120,00:10:47.656,00:10:47.38,00:10:48.46,pick up flour bag,pick up flour bag
P02_120_183,P02_120,00:10:49.165,00:10:48.43,00:10:50.06,close flour bag,close flour bag
P02_120_184,P02_120,00:10:49.665,00:10:49.16,00:10:50.22,pick up sugar jar,pick up sugar jar
P02_120_185,P02_120,00:10:52.165,00:10:50.02,00:10:52.63,put down sugar jar and flour bag,put down sugar jar and flour bag
P02_120_186,P02_120,00:10:56.169,00:10:52.70,00:10:57.15,pick up processor cover,pick up processor cover
P02_120_187,P02_120,00:10:57.673,00:10:57.17,00:11:03.83,cover processor,cover processor
P02_120_188,P02_120,00:11:04.166,00:11:03.89,00:11:04.54,pick up lid,pick up lid
P02_120_189,P02_120,00:11:04.661,00:11:04.76,00:11:05.43,pick up gloves,pick up gloves
P02_120_19,P02_120,00:01:28.157,00:01:28.77,00:01:29.39,open compost bin,open compost bin
P02_120_190,P02_120,00:11:06.165,00:11:05.29,00:11:06.94,pick up tablets,pick up tablets
P02_120_191,P02_120,00:11:09.657,00:11:09.28,00:11:10.55,put down glove and tablets,put down glove and tablets
P02_120_192,P02_120,00:11:12.168,00:11:11.53,00:11:12.55,put lid on jar,put lid on jar
P02_120_193,P02_120,00:11:16.666,00:11:15.34,00:11:18.02,move bowl,move bowl
P02_120_194,P02_120,00:11:21.169,00:11:17.94,00:11:21.64,put cutlery on chopping board,put cutlery on chopping board
P02_120_195,P02_120,00:11:22.166,00:11:20.44,00:11:23.05,pick up chopping board with cutlery,pick up chopping board with cutlery
P02_120_196,P02_120,00:11:23.167,00:11:22.60,00:11:23.49,pick up glass,pick up glass
P02_120_197,P02_120,00:11:26.666,00:11:26.19,00:11:27.47,put glass next to sink,put glass next to sink
P02_120_198,P02_120,00:11:27.656,00:11:27.58,00:11:28.37,lift blender,lift blender
P02_120_199,P02_120,00:11:28.669,00:11:28.28,00:11:29.61,put chopping board next to sink,put chopping board next to sink
P02_120_2,P02_120,00:00:44.158,00:00:43.69,00:00:45.73,move herbal tea box,move herbal tea box
P02_120_20,P02_120,00:01:29.403,00:01:29.31,00:01:29.81,throw eggshell,throw eggshell
P02_120_200,P02_120,00:11:29.906,00:11:29.27,00:11:31.05,put blender on chopping board,put blender on chopping board
P02_120_201,P02_120,00:11:30.655,00:11:30.03,00:11:30.73,move glass,move glass
P02_120_202,P02_120,00:11:31.906,00:11:30.99,00:11:32.15,pick up wiping cloth,pick up wiping cloth
P02_120_203,P02_120,00:11:33.156,00:11:32.83,00:11:34.00,open tap,open tap
P02_120_204,P02_120,00:11:34.164,00:11:33.67,00:11:35.65,rinse wiping cloth,rinse wiping cloth
P02_120_205,P02_120,00:11:35.669,00:11:34.49,00:11:36.00,close tap,close tap
P02_120_206,P02_120,00:11:36.406,00:11:36.12,00:11:37.75,squeeze cloth,squeeze cloth
P02_120_207,P02_120,00:11:40.913,00:11:40.39,00:11:47.32,wipe surface,wipe surface
P02_120_208,P02_120,00:11:48.171,00:11:47.42,00:11:52.03,gather flour in hand using wiping cloth,gather flour in hand using wiping cloth
P02_120_209,P02_120,00:11:53.416,00:11:51.26,00:11:54.71,wipe surface,wipe surface
P02_120_21,P02_120,00:01:30.657,00:01:30.19,00:01:39.39,mix egg with mixture,mix egg with mixture
P02_120_210,P02_120,00:11:56.669,00:11:56.18,00:11:57.40,open bin,open bin
P02_120_211,P02_120,00:11:57.171,00:11:56.78,00:11:58.22,clear rubbish,clear rubbish
P02_120_212,P02_120,00:11:58.168,00:11:58.10,00:11:58.81,close bin,close bin
P02_120_213,P02_120,00:11:59.669,00:11:59.59,00:12:00.83,open tap,open tap
P02_120_214,P02_120,00:12:00.668,00:12:00.89,00:12:02.81,rinse wiping cloth,rinse wiping cloth
P02_120_215,P02_120,00:12:03.167,00:12:02.63,00:12:03.67,close tap,close tap
P02_120_216,P02_120,00:12:03.668,00:12:03.59,00:12:05.28,squeeze wiping cloth,squeeze wiping cloth
P02_120_217,P02_120,00:12:05.919,00:12:04.79,00:12:06.30,put wiping cloth down,put wiping cloth down
P02_120_218,P02_120,00:12:07.414,00:12:07.09,00:12:09.69,dry hands with towel,dry hands with towel
P02_120_219,P02_120,00:12:11.173,00:12:09.84,00:12:11.74,turn on oven,turn on oven
P02_120_22,P02_120,00:01:41.157,00:01:39.41,00:01:54.79,stir mixture,stir mixture
P02_120_220,P02_120,00:12:13.168,00:12:11.74,00:12:13.01,close drawer,close drawer
P02_120_23,P02_120,00:01:55.159,00:01:54.85,00:01:55.84,pick up egg,pick up egg
P02_120_24,P02_120,00:01:55.660,00:01:55.94,00:01:56.66,tap egg on side of bowl,tap egg on side of bowl
P02_120_25,P02_120,00:01:57.655,00:01:57.65,00:01:59.01,tap egg on side of bowl,tap egg on side of bowl
P02_120_26,P02_120,00:01:59.156,00:01:59.11,00:02:01.19,crack egg,"crack egg, break egg, use egg"
P02_120_27,P02_120,00:02:01.907,00:02:01.77,00:02:03.18,open compose bin,open compose bin
P02_120_28,P02_120,00:02:02.657,00:02:02.61,00:02:03.11,throw eggshell,throw eggshell
P02_120_29,P02_120,00:02:04.402,00:02:03.87,00:02:10.08,mix egg with mixture and stir,mix egg with mixture and stir
P02_120_3,P02_120,00:00:46.658,00:00:45.81,00:00:47.80,open fridge,open fridge
P02_120_30,P02_120,00:02:10.905,00:02:09.81,00:02:12.14,pick up eggshell from mixture,pick up eggshell from mixture
P02_120_31,P02_120,00:02:12.651,00:02:11.87,00:02:13.00,open compost,open compost
P02_120_32,P02_120,00:02:12.904,00:02:13.03,00:02:14.37,throw little eggshell,throw little eggshell
P02_120_33,P02_120,00:02:15.907,00:02:14.28,00:02:29.75,mix mixture,mix mixture
P02_120_34,P02_120,00:02:30.406,00:02:29.64,00:02:31.14,close egg pack,close egg pack
P02_120_35,P02_120,00:02:31.156,00:02:31.24,00:02:33.26,pick up eggs,pick up eggs
P02_120_36,P02_120,00:02:32.908,00:02:33.11,00:02:34.32,open fridge,open fridge
P02_120_37,P02_120,00:02:34.656,00:02:34.00,00:02:35.76,put eggs in fridge,put eggs in fridge
P02_120_38,P02_120,00:02:36.407,00:02:35.72,00:02:37.09,pick up milk,pick up milk
P02_120_39,P02_120,00:02:37.156,00:02:36.88,00:02:38.17,close fridge,close fridge
P02_120_4,P02_120,00:00:48.406,00:00:47.54,00:00:50.04,pick up eggs,pick up eggs
P02_120_40,P02_120,00:02:40.656,00:02:38.11,00:02:40.49,move glass,move glass
P02_120_41,P02_120,00:02:40.902,00:02:40.67,00:02:41.92,open milk bottle,open milk bottle
P02_120_42,P02_120,00:02:42.156,00:02:41.96,00:02:46.81,pour milk from bottle into glass,pour milk from bottle into glass
P02_120_43,P02_120,00:02:47.406,00:02:46.91,00:02:48.68,close milk bottle,close milk bottle
P02_120_44,P02_120,00:02:49.657,00:02:49.34,00:02:50.17,pick up glass,pick up glass
P02_120_45,P02_120,00:02:50.407,00:02:49.97,00:02:52.22,pour milk from glass into bowl,pour milk from glass into bowl
P02_120_46,P02_120,00:02:53.156,00:02:52.97,00:02:54.25,put down glass,put down glass
P02_120_47,P02_120,00:02:55.908,00:02:55.50,00:02:56.83,open fridge,open fridge
P02_120_48,P02_120,00:02:56.903,00:02:56.87,00:02:57.77,put milk bottle in fridge door,put milk bottle in fridge door
P02_120_49,P02_120,00:02:57.654,00:02:57.85,00:02:58.58,close fridge,close fridge
P02_120_5,P02_120,00:00:50.407,00:00:50.14,00:00:51.03,close fridge,close fridge
P02_120_50,P02_120,00:03:00.156,00:02:59.79,00:03:10.43,hold bowl,"hold bowl, grab bowl, clasp bowl, grip bowl,"
P02_120_51,P02_120,00:03:00.655,00:02:59.01,00:03:33.71,mix milk with mixture,mix milk with mixture
P02_120_52,P02_120,00:03:35.656,00:03:34.76,00:03:36.21,check recipe,check recipe
P02_120_53,P02_120,00:03:38.153,00:03:38.08,00:03:39.82,open cupboard,open cupboard
P02_120_54,P02_120,00:03:40.169,00:03:39.43,00:03:40.68,pick up vanilla extract bottle,"pick up vanilla extract bottle, which extract should I use, "
P02_120_55,P02_120,00:03:42.656,00:03:41.19,00:03:43.54,pick up baking powder sachet,pick up baking powder sachet
P02_120_56,P02_120,00:03:44.169,00:03:43.44,00:03:44.73,pick up salt,pick up salt
P02_120_57,P02_120,00:03:48.168,00:03:44.83,00:03:49.25,put down salt,put down salt
P02_120_58,P02_120,00:03:49.904,00:03:49.15,00:03:50.66,put down baking powder sachet,put down baking powder sachet
P02_120_59,P02_120,00:03:50.907,00:03:50.58,00:03:54.37,open vanilla extract bottle,"open vanilla extract bottle, use vanilla extract, use extract"
P02_120_6,P02_120,00:00:51.908,00:00:51.03,00:00:52.62,"put down eggs,use eggs",put down eggs
P02_120_60,P02_120,00:03:56.401,00:03:55.18,00:03:56.54,pick up lid,pick up lid
P02_120_61,P02_120,00:03:57.656,00:03:56.80,00:03:58.86,pour vanilla extract from bottle onto lid,pour vanilla extract from bottle onto lid
P02_120_62,P02_120,00:03:59.156,00:03:58.94,00:04:00.39,pour vanilla extract from lid into bowl,pour vanilla extract from lid into bowl
P02_120_63,P02_120,00:04:00.653,00:04:00.49,00:04:03.84,close vanilla extract bottle,close vanilla extract bottle
P02_120_64,P02_120,00:04:04.155,00:04:03.92,00:04:04.57,put down vanilla extract bottle,put down vanilla extract bottle
P02_120_65,P02_120,00:04:05.158,00:04:04.47,00:04:11.96,stir mixture,stir mixture
P02_120_66,P02_120,00:04:13.406,00:04:12.03,00:04:14.67,pick up baking powder sachet,pick up baking powder sachet
P02_120_67,P02_120,00:04:13.905,00:04:14.43,00:04:15.19,pick up scissors,pick up scissors
P02_120_68,P02_120,00:04:17.408,00:04:14.96,00:04:18.40,cut open sachet,cut open sachet
P02_120_69,P02_120,00:04:18.659,00:04:18.61,00:04:19.08,put down scissors,put down scissors
P02_120_7,P02_120,00:00:53.406,00:00:52.58,00:00:54.02,open eggs pack,open eggs pack
P02_120_70,P02_120,00:04:20.908,00:04:19.13,00:04:25.67,pour baking powder from sachet into bowl,pour baking powder from sachet into bowl
P02_120_71,P02_120,00:04:22.906,00:04:22.22,00:04:24.72,shake sachet,shake sachet
P02_120_72,P02_120,00:04:27.410,00:04:24.71,00:04:27.82,open bin,open bin
P02_120_73,P02_120,00:04:27.911,00:04:27.74,00:04:28.14,throw sachet,throw sachet
P02_120_74,P02_120,00:04:28.410,00:04:28.24,00:04:28.67,close bin,close bin
P02_120_75,P02_120,00:04:32.657,00:04:28.77,00:04:32.72,open drawer,open drawer
P02_120_76,P02_120,00:04:33.411,00:04:33.14,00:04:34.14,pick up spoon,pick up spoon
P02_120_77,P02_120,00:04:35.665,00:04:35.16,00:04:35.83,pick up salt,pick up salt
P02_120_78,P02_120,00:04:36.164,00:04:35.72,00:04:39.12,pour salt from bottle onto spoon,pour salt from bottle onto spoon
P02_120_79,P02_120,00:04:39.664,00:04:38.77,00:04:40.11,pour salt from spoon into bowl,pour salt from spoon into bowl
P02_120_8,P02_120,00:00:54.905,00:00:54.04,00:00:55.60,pick up egg,"pick up egg, hold egg"
P02_120_80,P02_120,00:04:40.412,00:04:40.14,00:04:41.47,put down salt,put down salt
P02_120_81,P02_120,00:04:42.155,00:04:40.00,00:04:43.25,put down spoon,put down spoon
P02_120_82,P02_120,00:04:42.907,00:04:43.02,00:04:56.29,stir mixture,stir mixture
P02_120_83,P02_120,00:05:00.155,00:04:59.86,00:05:01.06,pick up vanilla extract bottle,pick up vanilla extract bottle
P02_120_84,P02_120,00:05:01.154,00:05:01.15,00:05:01.93,pick up salt,pick up salt
P02_120_85,P02_120,00:05:04.905,00:05:04.05,00:05:05.16,put vanilla extract bottle in cupboard,put vanilla extract bottle in cupboard
P02_120_86,P02_120,00:05:07.656,00:05:05.31,00:05:07.97,put down salt,put down salt
P02_120_87,P02_120,00:05:08.409,00:05:08.45,00:05:09.36,open cupboard,open cupboard
P02_120_88,P02_120,00:05:10.157,00:05:09.82,00:05:10.98,pick up hand blender,pick up hand blender
P02_120_89,P02_120,00:05:16.154,00:05:13.26,00:05:18.07,open blender box,open blender box
P02_120_9,P02_120,00:00:56.155,00:00:55.54,00:00:56.69,tap egg on side of bowl,tap egg on side of bowl
P02_120_90,P02_120,00:05:19.902,00:05:17.42,00:05:24.52,get blender from box,get blender from box
P02_120_91,P02_120,00:05:20.656,00:05:19.80,00:05:20.72,put down blender,put down blender
P02_120_92,P02_120,00:05:21.655,00:05:21.18,00:05:21.88,get blender part from box,get blender part from box
P02_120_93,P02_120,00:05:22.155,00:05:21.98,00:05:24.45,put down blender part,put down blender part
P02_120_94,P02_120,00:05:24.908,00:05:24.96,00:05:25.80,put down box,put down box
P02_120_95,P02_120,00:05:27.660,00:05:27.35,00:05:28.55,attach blender,attach blender
P02_120_96,P02_120,00:05:31.661,00:05:31.49,00:05:32.79,unplug plug,unplug plug
P02_120_97,P02_120,00:05:34.159,00:05:34.02,00:05:35.42,plug blender,plug blender
P02_120_98,P02_120,00:05:42.158,00:05:40.17,00:05:42.44,turn on blender,turn on blender
P02_120_99,P02_120,00:05:42.657,00:05:41.41,00:05:43.82,blend mixture,blend mixture
